conversation_id,turn_index,role,text
call-000001,1,agent,I'm glad I could help. Have a great day!
call-000001,2,customer,I'm very disappointed with your service.
call-000001,3,agent,"Thank you for your patience, I'm looking into this."
call-000001,4,customer,My internet is not working and I'm really upset.
call-000001,5,agent,I'm glad I could help. Have a great day!
call-000001,6,customer,Can you confirm my appointment time?
call-000001,7,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000001,8,customer,I just want to check the status of my order.
call-000001,9,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000001,10,customer,This is the third time I'm calling about the same issue.
call-000002,1,agent,I will escalate this issue to our specialist team.
call-000002,2,customer,Can you confirm my appointment time?
call-000002,3,agent,"Thank you for your patience, I'm looking into this."
call-000002,4,customer,Can you confirm my appointment time?
call-000002,5,agent,I have updated your account. Is there anything else I can help with?
call-000002,6,customer,"I waited on hold for 30 minutes, this is unacceptable."
call-000002,7,agent,"I understand your concern, I will do my best to help."
call-000002,8,customer,"Thank you so much, this was very helpful!"
call-000002,9,agent,"Thank you for your patience, I'm looking into this."
call-000002,10,customer,I would like to know more about your plans.
call-000003,1,agent,"I understand your concern, I will do my best to help."
call-000003,2,customer,I'm very disappointed with your service.
call-000003,3,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000003,4,customer,My internet is not working and I'm really upset.
call-000003,5,agent,"I understand your concern, I will do my best to help."
call-000003,6,customer,"Great service, I'll recommend you to my friends."
call-000003,7,agent,"I understand your concern, I will do my best to help."
call-000003,8,customer,"I appreciate your support, everything is working now."
call-000003,9,agent,I will escalate this issue to our specialist team.
call-000003,10,customer,The product arrived damaged and I want a refund.
call-000004,1,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000004,2,customer,Can you confirm my appointment time?
call-000004,3,agent,"I understand your concern, I will do my best to help."
call-000004,4,customer,I just want to check the status of my order.
call-000004,5,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000004,6,customer,I would like to know more about your plans.
call-000004,7,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000004,8,customer,"Thank you so much, this was very helpful!"
call-000004,9,agent,I have updated your account. Is there anything else I can help with?
call-000004,10,customer,I'm very disappointed with your service.
call-000005,1,agent,"Thank you for your patience, I'm looking into this."
call-000005,2,customer,This is the third time I'm calling about the same issue.
call-000005,3,agent,I'm glad I could help. Have a great day!
call-000005,4,customer,My internet is not working and I'm really upset.
call-000005,5,agent,I will escalate this issue to our specialist team.
call-000005,6,customer,Can you confirm my appointment time?
call-000005,7,agent,I'm glad I could help. Have a great day!
call-000005,8,customer,The product arrived damaged and I want a refund.
call-000005,9,agent,I have updated your account. Is there anything else I can help with?
call-000005,10,customer,"I waited on hold for 30 minutes, this is unacceptable."
call-000006,1,agent,"Thank you for your patience, I'm looking into this."
call-000006,2,customer,I just want to check the status of my order.
call-000006,3,agent,"Thank you for your patience, I'm looking into this."
call-000006,4,customer,"You fixed my issue very quickly, thanks!"
call-000006,5,agent,I have updated your account. Is there anything else I can help with?
call-000006,6,customer,This is the third time I'm calling about the same issue.
call-000006,7,agent,I will escalate this issue to our specialist team.
call-000006,8,customer,"You fixed my issue very quickly, thanks!"
call-000006,9,agent,"Thank you for your patience, I'm looking into this."
call-000006,10,customer,I need help understanding my bill.
call-000007,1,agent,I'm glad I could help. Have a great day!
call-000007,2,customer,I would like to know more about your plans.
call-000007,3,agent,"Thank you for your patience, I'm looking into this."
call-000007,4,customer,"I waited on hold for 30 minutes, this is unacceptable."
call-000007,5,agent,I will escalate this issue to our specialist team.
call-000007,6,customer,"I waited on hold for 30 minutes, this is unacceptable."
call-000007,7,agent,I have updated your account. Is there anything else I can help with?
call-000007,8,customer,"I appreciate your support, everything is working now."
call-000007,9,agent,"I understand your concern, I will do my best to help."
call-000007,10,customer,This is the third time I'm calling about the same issue.
call-000008,1,agent,I will escalate this issue to our specialist team.
call-000008,2,customer,I just want to check the status of my order.
call-000008,3,agent,I'm sorry for the inconvenience. Let me check that for you.
call-000008,4,customer,This is the third time I'm calling about the same issue.
call-000008,5,agent,I'm glad I could help. Have a great day!
call-000008,6,customer,I just want to check the status of my order.
